TribeIndigenousLands,,Organized Village of Saxman,"Saxman, Organized Village of",,
TribeIndigenousLands,,Sitka Tribe of Alaska,Sitka Tribe of Alaska,,
TribeIndigenousLands,,Native Village of Eyak (Cordova),"Eyak, Native Village of (Cordova)",,
TribeIndigenousLands,,Native Village of Tatitlek,"Tatitlek, Native Village of",,
TribeIndigenousLands,,Seldovia Village Tribe,Seldovia Village Tribe,,
TribeIndigenousLands,,Native Village of Port Graham,"Port Graham, Native Village of",,
TribeIndigenousLands,,Ninilchik Village,Ninilchik Village,,
TribeIndigenousLands,,Native Village of Tyonek,"Tyonek, Native Village of",,
TribeIndigenousLands,,Native Village of Tanacross,"Tanacross, Native Village of",,
TribeIndigenousLands,,Northway Village,Northway Village,,
TribeIndigenousLands,,Native Village of Eagle,"Eagle, Native Village of",,
TribeIndigenousLands,,Nenana Native Association,Nenana Native Association,,
TribeIndigenousLands,,Native Village of Tanana,"Tanana, Native Village of",,
TribeIndigenousLands,,Manley Hot Springs Village,Manley Hot Springs Village,,
TribeIndigenousLands,,Rampart Village,Rampart Village,,
TribeIndigenousLands,,Circle Native Community,Circle Native Community,,
TribeIndigenousLands,,Native Village of Fort Yukon,"Fort Yukon, Native Village of",,
TribeIndigenousLands,,Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),,
TribeIndigenousLands,,Beaver Village,Beaver Village,,
TribeIndigenousLands,,Native Village of Stevens,"Stevens, Native Village of",,
TribeIndigenousLands,,Village of Anaktuvuk Pass,"Anaktuvuk Pass, Village of",,
TribeIndigenousLands,,Evansville Village (aka Bettles Field),Evansville Village (Bettles Field),,
TribeIndigenousLands,,Allakaket Village,Allakaket Village,,
TribeIndigenousLands,,Native Village of Kobuk,"Kobuk, Native Village of",,
TribeIndigenousLands,,Native Village of Shungnak,"Shungnak, Native Village of",,
TribeIndigenousLands,,Native Village of Ambler,"Ambler, Native Village of",,
TribeIndigenousLands,,Native Village of Kotzebue,"Kotzebue, Native Village of",,
TribeIndigenousLands,,Native Village of Kiana,"Kiana, Native Village of",,
TribeIndigenousLands,,Noorvik Native Community,Noorvik Native Community,,
TribeIndigenousLands,,Native Village of Selawik,"Selawik, Native Village of",,
TribeIndigenousLands,,Native Village of Noatak,"Noatak, Native Village of",,
TribeIndigenousLands,,Native Village of Shishmaref,"Shishmaref, Native Village of",,
TribeIndigenousLands,,Native Village of Kivalina,"Kivalina, Native Village of",,
TribeIndigenousLands,,Village of Wainwright,"Wainwright, Village of",,
TribeIndigenousLands,,Native Village of Point Lay,"Point Lay, Native Village of",,
TribeIndigenousLands,,Native Village of Point Hope,"Point Hope, Native Village of",,
TribeIndigenousLands,,Native Village of Barrow Inupiat Traditional Government,"Barrow Inupiat Traditional Government, Native Village of",,
TribeIndigenousLands,,Native Village of Nuiqsut (aka Nooiksut),"Nuiqsut, Native Village of",,
TribeIndigenousLands,,Kaktovik Village (aka Barter Island),Kaktovik Village (Barter Island),,
TribeIndigenousLands,,Arctic Village (See Native Village of Venetie Tribal Government),Arctic Village (See Native Village of Venetie Tribal Government),,
TribeIndigenousLands,,Huslia Village,Huslia Village,,
TribeIndigenousLands,,Hughes Village,Hughes Village,,
TribeIndigenousLands,,Louden Tribe,Louden Tribe,,
TribeIndigenousLands,,Village of Kaltag,"Kaltag, Village of",,
TribeIndigenousLands,,Nulato Village,Nulato Village,,
TribeIndigenousLands,,Koyukuk Native Village,Koyukuk Native Village,,
TribeIndigenousLands,,Native Village of Ruby,"Ruby, Native Village of",,
TribeIndigenousLands,,Nome Eskimo Community,Nome Eskimo Community,,
TribeIndigenousLands,,Native Village of Elim,"Elim, Native Village of",,
TribeIndigenousLands,,Native Village of White Mountain,"White Mountain, Native Village of",,
TribeIndigenousLands,,Native Village of Koyuk,"Koyuk, Native Village of",,
TribeIndigenousLands,,Native Village of Buckland,"Buckland, Native Village of",,
TribeIndigenousLands,,Native Village of Teller,"Teller, Native Village of",,
TribeIndigenousLands,,Native Village of Brevig Mission,"Brevig Mission, Native Village of",,
TribeIndigenousLands,,Native Village of Deering,"Deering, Native Village of",,
TribeIndigenousLands,,Village of Solomon,"Solomon, Village of",,
TribeIndigenousLands,,Native Village of Council,"Council, Native Village of",,
TribeIndigenousLands,,Native Village of Wales,"Wales, Native Village of",,
TribeIndigenousLands,,Native Village of Gambell,"Gambell, Native Village of",,
TribeIndigenousLands,,Algaaciq Native Village (St. Mary's),Algaaciq Native Village (St. Marys),,
TribeIndigenousLands,,Native Village of Scammon Bay,"Scammon Bay, Native Village of",,
TribeIndigenousLands,,Native Village of Hooper Bay,"Hooper Bay, Native Village of",,
TribeIndigenousLands,,Native Village of Nunam Iqua,Native Village of Nunam Iqua,,
TribeIndigenousLands,,Village of Alakanuk,"Alakanuk, Village of",,
TribeIndigenousLands,,Emmonak Village,Emmonak Village,,
TribeIndigenousLands,,Stebbins Community Association,Stebbins Community Association,,
TribeIndigenousLands,,Native Village of Saint Michael,"Saint Michael, Native Village of",,
TribeIndigenousLands,,Village of Kotlik,"Kotlik, Village of",,
TribeIndigenousLands,,Chevak Native Village,Chevak Native Village,,
TribeIndigenousLands,,Native Village of Marshall (aka Fortuna Ledge),"Marshall, Native Village of (Fortuna Ledge)",,
TribeIndigenousLands,,Holy Cross Tribe,Holy Cross Tribel,,
TribeIndigenousLands,,Shageluk Native Village,Shageluk Native Village,,
TribeIndigenousLands,,Anvik Village,Anvik Village,,
TribeIndigenousLands,,Village of Aniak,"Aniak, Village of",,
TribeIndigenousLands,,Native Village of Napaimute,"Napaimute, Native Village of",,
TribeIndigenousLands,,Village of Crooked Creek,"Crooked Creek, Village of",,
TribeIndigenousLands,,Village of Sleetmute,"Sleetmute, Village of",,
TribeIndigenousLands,,Village of Stony River,"Stony River, Village of",,
TribeIndigenousLands,,Lime Village,Lime Village,,
TribeIndigenousLands,,Village of Red Devil,"Red Devil, Village of",,
TribeIndigenousLands,,Native Village of Unalakleet,"Unalakleet, Native Village of",,
TribeIndigenousLands,,McGrath Native Village,McGrath Native Village,,
TribeIndigenousLands,,Takotna Village,Takotna Village,,
TribeIndigenousLands,,Nikolai Village,Nikolai Village,,
TribeIndigenousLands,,Village of Clarks Point,"Clarks Point, Village of (Previously Clarks Point)",,
TribeIndigenousLands,,Nondalton Village,Nondalton Village,,
TribeIndigenousLands,,Native Village of Aleknagik,"Aleknagik, Native Village of",,
TribeIndigenousLands,,Native Village of Ekwok,Ekwok Village,,
TribeIndigenousLands,,New Stuyahok Village,New Stuyahok Village,,
TribeIndigenousLands,,Naknek Native Village,Naknek Native Village,,
TribeIndigenousLands,,New Koliganek Village Council,New Koliganek Village Council,,
TribeIndigenousLands,,Igiugig Village,Igiugig Village,,
TribeIndigenousLands,,Village of Iliamna,"Iliamna, Village of",,
TribeIndigenousLands,,Newhalen Village,Newhalen Village,,
TribeIndigenousLands,,Levelock Village,Levelock Village,,
TribeIndigenousLands,,South Naknek Village,South Naknek Village,,
TribeIndigenousLands,,Native Village of Goodnews Bay,"Goodnews Bay, Native Village of",,
TribeIndigenousLands,,Platinum Traditional Village,Platinum Traditional Village,,
TribeIndigenousLands,,Traditional Village of Togiak,"Togiak, Traditional Village of",,
TribeIndigenousLands,,Native Village of Eek,"Eek, Native Village of",,
TribeIndigenousLands,,Twin Hills Village,Twin Hills Village,,
TribeIndigenousLands,,Native Village of Kwigillingok,"Kwigillingok, Native Village of",,
TribeIndigenousLands,,Native Village of Mekoryuk,"Mekoryuk, Native Village of",,
TribeIndigenousLands,,Native Village of Tununak,"Tununak, Native Village of",,
TribeIndigenousLands,,Nunakauyarmiut Tribe,Nunakauyarmiut Tribe (Toksook Bay),,
TribeIndigenousLands,,Native Village of Nightmute,"Nightmute, Native Village of",,
TribeIndigenousLands,,Newtok Village,Newtok Village,,
TribeIndigenousLands,,Native Village of Kipnuk,"Kipnuk, Native Village of",,
TribeIndigenousLands,,Orutsararmiut Traditional Native Council,Orutsararmuit Native Village (Bethel),,
TribeIndigenousLands,,Tuluksak Native Community,Tuluksak Native Community,,
TribeIndigenousLands,,Native Village of Napakiak,"Napakiak, Native Village of",,
TribeIndigenousLands,,Native Village of Napaskiak,"Napaskiak, Native Village of",,
TribeIndigenousLands,,Organized Village of Kwethluk,"Kwethluk, Organized Village of",,
TribeIndigenousLands,,Akiak Native Community,Akiak Native Community,,
TribeIndigenousLands,,Akiachak Native Community,Akiachak Native Community,,
TribeIndigenousLands,,Native Village of Nunapitchuk,"Nunapitchuk, Native Village of",,
TribeIndigenousLands,,Kasigluk Traditional Elders Council,"Kasigluk, Native Village of",,
TribeIndigenousLands,,Native Village of Akhiok,"Akhiok, Native Village of",,
TribeIndigenousLands,,Native Village of Port Lions,"Port Lions, Native Village of",,
TribeIndigenousLands,,Alutiiq Tribe of Old Harbor,"Old Harbor, Village of",,
TribeIndigenousLands,,Native Village of Larsen Bay,"Larsen Bay, Native Village of",,
TribeIndigenousLands,,Chignik Bay Tribal Council,Chignik Bay Tribal Council,,
TribeIndigenousLands,,Egegik Village,Egegik Village,,
TribeIndigenousLands,,Native Village of Pilot Point,"Pilot Point, Native Village of",,
TribeIndigenousLands,,Ugashik Village,Ugashik Village,,
TribeIndigenousLands,,Qagan Tayagungin Tribe of Sand Point,Qagan Tayagungin Tribe of Sand Point,,
TribeIndigenousLands,,Native Village of Nikolski,"Nikolski, Native Village of",,
TribeIndigenousLands,,Telida Village,Telida Village,,
TribeIndigenousLands,,Douglas Indian Association,Douglas Indian Association,,
TribeIndigenousLands,,Native Village of Atqasuk,Native Village of Atqasuk,,
TribeIndigenousLands,,Chilkat Indian Village (Klukwan),Chilkat Indian Village (Klukwan),,
TribeIndigenousLands,,Chilkoot Indian Association (Haines),Chilkoot Indian Association (Haines),,
TribeIndigenousLands,,Chinik Eskimo Community (Golovin),Chinik Eskimo Community (Golovin),,
TribeIndigenousLands,,Curyung Tribal Council,Curyung Tribal Council (Dillingham),,
TribeIndigenousLands,,Village of Lower Kalskag,"Lower Kalskag, Village of",,
TribeIndigenousLands,,Village of Kalskag,"Kalskag, Village of (Upper)",,
TribeIndigenousLands,,Kenaitze Indian Tribe,Kenaitze Indian Tribe (Kenai),,
TribeIndigenousLands,,Native Village of Kluti Kaah (aka Copper Center),"Kluti Kaah, Native Village of (Copper Center - Previously Kluti-Kaah)",,
TribeIndigenousLands,,Native Village of Kwinhagak (aka Quinhagak),"Kwinhagak, Native Village of",,
TribeIndigenousLands,,Pilot Station Traditional Village,Pilot Station Traditional Village,,
TribeIndigenousLands,,Pitka's Point Traditional Council,Pitka's Point Traditional Council,,
TribeIndigenousLands,,Saint George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),Saint George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),,
TribeIndigenousLands,,Native Village of Kanatak,"Kanatak, Native Village of (Included In Egegik)",,
TribeIndigenousLands,,Yupiit of Andreafski,"Andreafski, Yupiit of",,
TribeIndigenousLands,,Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),,
TribeIndigenousLands,,Sun'aq Tribe of Kodiak,Sun'aq Tribe of Kodiak,,
TribeIndigenousLands,,Inupiat Community of the Arctic Slope,Inupiat Community of the Arctic Slope,,
TribeIndigenousLands,,Village of Venetie (See Native Village of Venetie Tribal Government),Village of Venetie (See Native Village of Venetie Tribal Government),,
TribeIndigenousLands,Fort Berthold,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",Fort Berthold Reservation,,
TribeIndigenousLands,San Carlos,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",San Carlos Reservation,,
TribeIndigenousLands,Shoalwater Bay,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,Shoalwater Bay Indian Reservation,,
TribeIndigenousLands,Resighini,Pulikla Tribe of Yurok People,Resighini Rancheria,,
TribeIndigenousLands,Summit Lake,Summit Lake Paiute Tribe of Nevada,Summit Lake Reservation,,
TribeIndigenousLands,Immokalee,Seminole Tribe of Florida,Immokalee Reservation,,
TribeIndigenousLands,Lummi,Lummi Tribe of the Lummi Reservation,Lummi Reservation,,
TribeIndigenousLands,Pascua Pueblo Yaqui,Pascua Yaqui Tribe of Arizona,Pascua Pueblo Yaqui Reservation,,
TribeIndigenousLands,Klamath,Klamath Tribes,Klamath Reservation,,
TribeIndigenousLands,Dry Creek,"Dry Creek Rancheria Band of Pomo Indians, California",Dry Creek Rancheria,,
TribeIndigenousLands,Fallon Paiute-Shoshone,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Colony,,
TribeIndigenousLands,Jena Band of Choctaw,Jena Band of Choctaw Indians,Jena Band of Choctaw Reservation,,
TribeIndigenousLands,Pokagon,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Pokagon Reservation,,
TribeIndigenousLands,Benton Paiute,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",Benton Paiute Reservation,,
TribeIndigenousLands,Burns Paiute,Burns Paiute Tribe,Burns Paiute Indian Colony,,
TribeIndigenousLands,Campbell,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",Campbell Ranch,,
TribeIndigenousLands,Soboba,"Soboba Band of Luiseno Indians, California",Soboba Reservation,,
TribeIndigenousLands,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area,,
TribeIndigenousLands,Spokane,Spokane Tribe of the Spokane Reservation,Spokane Reservation,,
TribeIndigenousLands,Cow Creek,Cow Creek Band of Umpqua Tribe of Indians,Cow Creek Reservation,,
TribeIndigenousLands,Skokomish,Skokomish Indian Tribe,Skokomish Reservation,,
TribeIndigenousLands,Sycuan,Sycuan Band of the Kumeyaay Nation,Sycuan Reservation,,
TribeIndigenousLands,Roaring Creek,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Roaring Creek Rancheria,,
TribeIndigenousLands,Mescalero,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",Mescalero Reservation,,
TribeIndigenousLands,Hannahville,"Hannahville Indian Community, Michigan",Hannahville Indian Community,,
TribeIndigenousLands,Picayune,Picayune Rancheria of Chukchansi Indians of California,Picayune Rancheria,,
TribeIndigenousLands,Smith River,Tolowa Dee-ni' Nation,Smith River Rancheria,,
TribeIndigenousLands,Blackfeet,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet Indian Reservation,,
TribeIndigenousLands,Fort McDermitt,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",Fort McDermitt Indian Reservation,,
TribeIndigenousLands,Colville,Confederated Tribes of the Colville Reservation,Colville Reservation,,
TribeIndigenousLands,Chehalis,Confederated Tribes of the Chehalis Reservation,Chehalis Reservation,,
TribeIndigenousLands,Little Traverse Bay,"Little Traverse Bay Bands of Odawa Indians, Michigan",Little Traverse Bay Reservation,,
TribeIndigenousLands,San Felipe Pueblo/Santa Ana Pueblo,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo/Santa Ana Pueblo joint-use area,,
TribeIndigenousLands,San Felipe Pueblo/Santa Ana Pueblo,"Pueblo of Santa Ana, New Mexico",San Felipe Pueblo/Santa Ana Pueblo joint-use area,,
TribeIndigenousLands,Swinomish,Swinomish Indian Tribal Community,Swinomish Reservation,,
TribeIndigenousLands,Tulalip,Tulalip Tribes of Washington,Tulalip Reservation,,
TribeIndigenousLands,Penobscot,Penobscot Nation,Penobscot Reservation,,
TribeIndigenousLands,Muckleshoot,Muckleshoot Indian Tribe,Muckleshoot Reservation,,
TribeIndigenousLands,Cowlitz,Cowlitz Indian Tribe,Cowlitz Reservation,,
TribeIndigenousLands,Sac and Fox/Meskwaki,Sac & Fox Tribe of the Mississippi in Iowa,Sac and Fox/Meskwaki Settlement,,
TribeIndigenousLands,Skull Valley,Skull Valley Band of Goshute Indians of Utah,Skull Valley Reservation,,
TribeIndigenousLands,Redwood Valley,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,Redwood Valley Rancheria,,
TribeIndigenousLands,Menominee,Menominee Indian Tribe of Wisconsin,Menominee Reservation,,
TribeIndigenousLands,Northern Cheyenne,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne Indian Reservation,,
TribeIndigenousLands,Pauma and Yuima,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",Pauma and Yuima Reservation,,
TribeIndigenousLands,Fort Pierce,Seminole Tribe of Florida,Fort Pierce Reservation,,
TribeIndigenousLands,Bridgeport,Bridgeport Indian Colony,Bridgeport Reservation,,
TribeIndigenousLands,Jackson,Jackson Band of Miwuk Indians,Jackson Rancheria,,
TribeIndigenousLands,Ontonagon,"Keweenaw Bay Indian Community, Michigan",Ontonagon Reservation,,
TribeIndigenousLands,Morongo,"Morongo Band of Mission Indians, California",Morongo Reservation,,
TribeIndigenousLands,Yurok,"Yurok Tribe of the Yurok Reservation, California",Yurok Reservation,,
TribeIndigenousLands,Eastern Cherokee,Eastern Band of Cherokee Indians,Eastern Cherokee Reservation,,
TribeIndigenousLands,Cabazon,Cabazon Band of Cahuilla Indians,Cabazon Reservation,,
TribeIndigenousLands,Tonawanda,Tonawanda Band of Seneca,Tonawanda Reservation,,
TribeIndigenousLands,Houlton Maliseet,Houlton Band of Maliseet Indians,Houlton Maliseet Reservation,,
TribeIndigenousLands,Coeur d'Alene,Coeur D'Alene Tribe,Coeur d'Alene Reservation,,
TribeIndigenousLands,Siletz,Confederated Tribes of Siletz Indians of Oregon,Siletz Reservation,,
TribeIndigenousLands,Santa Ynez,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",Santa Ynez Reservation,,
TribeIndigenousLands,Southern Ute,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",Southern Ute Reservation,,
TribeIndigenousLands,Ramona,"Ramona Band of Cahuilla, California",Ramona Village,,
TribeIndigenousLands,Puyallup,Puyallup Tribe of the Puyallup Reservation,Puyallup Reservation,,
TribeIndigenousLands,Isabella,Saginaw Chippewa Indian Tribe of Michigan,Isabella Reservation,,
TribeIndigenousLands,Kickapoo (TX),Kickapoo Traditional Tribe of Texas,Kickapoo (TX) Reservation,,
TribeIndigenousLands,Tunica-Biloxi,Tunica-Biloxi Indian Tribe,Tunica-Biloxi Reservation,,
TribeIndigenousLands,Alabama-Coushatta,Alabama-Coushatta Tribe of Texas,Alabama-Coushatta Reservation,,
TribeIndigenousLands,Los Coyotes,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",Los Coyotes Reservation,,
TribeIndigenousLands,Cold Springs,Cold Springs Rancheria of Mono Indians of California,Cold Springs Rancheria,,
TribeIndigenousLands,Manzanita,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",Manzanita Reservation,,
TribeIndigenousLands,Crow,Crow Tribe of Montana,Crow Reservation,,
TribeIndigenousLands,Augustine,"Augustine Band of Cahuilla Indians, California",Augustine Reservation,,
TribeIndigenousLands,Greenville,Greenville Rancheria,Greenville Rancheria,,
TribeIndigenousLands,Stockbridge Munsee,"Stockbridge Munsee Community, Wisconsin",Stockbridge Munsee Community,,
TribeIndigenousLands,Sokaogon Chippewa,"Sokaogon Chippewa Community, Wisconsin",Sokaogon Chippewa Community,,
TribeIndigenousLands,La Posta,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",La Posta Indian Reservation,,
TribeIndigenousLands,Iowa (KS-NE),Iowa Tribe of Kansas and Nebraska,Iowa (KS-NE) Reservation,,
TribeIndigenousLands,Standing Rock,Standing Rock Sioux Tribe of North & South Dakota,Standing Rock Reservation,,
TribeIndigenousLands,Warm Springs,Confederated Tribes of the Warm Springs Reservation of Oregon,Warm Springs Reservation,,
TribeIndigenousLands,Sandia,"Pueblo of Sandia, New Mexico",Sandia Pueblo,,
TribeIndigenousLands,Winnemucca,Winnemucca Indian Colony of Nevada,Winnemucca Indian Colony,,
TribeIndigenousLands,Enterprise,Enterprise Rancheria of Maidu Indians of California,Enterprise Rancheria,,
TribeIndigenousLands,Mississippi Choctaw,Mississippi Band of Choctaw Indians,Mississippi Choctaw Reservation,,
TribeIndigenousLands,Rumsey,"Yocha Dehe Wintun Nation, California",Rumsey Indian Rancheria,,
TribeIndigenousLands,Chemehuevi,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",Chemehuevi Reservation,,
TribeIndigenousLands,Fort McDowell Yavapai Nation,"Fort McDowell Yavapai Nation, Arizona",Fort McDowell Yavapai Nation Reservation,,
TribeIndigenousLands,Leech Lake,"Minnesota Chippewa Tribe, Minnesota (Leech Lake Band)",Leech Lake Reservation,,
TribeIndigenousLands,Turtle Mountain,Turtle Mountain Band of Chippewa Indians of North Dakota,Turtle Mountain Reservation,,
TribeIndigenousLands,Coushatta,Coushatta Tribe of Louisiana,Coushatta Reservation,,
TribeIndigenousLands,Barona,"Capitan Grande Band of Diegueno Mission Indians of California: Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California",Barona Reservation,,
TribeIndigenousLands,Bad River,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",Bad River Reservation,,
TribeIndigenousLands,Spirit Lake,"Spirit Lake Tribe, North Dakota",Spirit Lake Reservation,,
TribeIndigenousLands,Yavapai-Apache Nation,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",Yavapai-Apache Nation Reservation,,
TribeIndigenousLands,Upper Skagit,Upper Skagit Indian Tribe,Upper Skagit Reservation,,
TribeIndigenousLands,Mohegan,Mohegan Tribe of Indians of Connecticut,Mohegan Reservation,,
TribeIndigenousLands,Oil Springs,Seneca Nation of Indians,Oil Springs Reservation,,
TribeIndigenousLands,South Fork,Te-Moak Tribe of Western Shoshone Indians of Nevada (South Fork Band),South Fork Reservation,,
TribeIndigenousLands,Inaja and Cosmit,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",Inaja and Cosmit Reservation,,
TribeIndigenousLands,Santa Rosa,"Santa Rosa Band of Cahuilla Indians, California",Santa Rosa Reservation,,
TribeIndigenousLands,Berry Creek,Berry Creek Rancheria of Maidu Indians of California,Berry Creek Rancheria,,
TribeIndigenousLands,Las Vegas,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",Las Vegas Indian Colony,,
TribeIndigenousLands,Tonto Apache,Tonto Apache Tribe of Arizona,Tonto Apache Reservation,,
TribeIndigenousLands,Wells,Te-Moak Tribe of Western Shoshone Indians of Nevada (Wells Band),Wells Colony,,
TribeIndigenousLands,Tuolumne,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California,Tuolumne Rancheria,,
TribeIndigenousLands,Shingle Springs,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",Shingle Springs Rancheria,,
TribeIndigenousLands,Ohkay Owingeh,"Ohkay Owingeh, New Mexico",Ohkay Owingeh,,
TribeIndigenousLands,Upper Sioux,"Upper Sioux Community, Minnesota",Upper Sioux Community,,
TribeIndigenousLands,Little River,"Little River Band of Ottawa Indians, Michigan",Little River Reservation,,
TribeIndigenousLands,Mesa Grande,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",Mesa Grande Reservation,,
TribeIndigenousLands,Cheyenne River,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",Cheyenne River Reservation,,
TribeIndigenousLands,Cortina,Kletsel Dehe Wintun Nation of the Cortina Rancheria,Cortina Indian Rancheria,,
TribeIndigenousLands,Table Bluff,"Wiyot Tribe, California",Table Bluff Reservation,,
TribeIndigenousLands,Grand Traverse,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",Grand Traverse Reservation,,
TribeIndigenousLands,Pleasant Point,Passamaquoddy Tribe of Maine (Pleasant Point),Pleasant Point Reservation,,
TribeIndigenousLands,Flathead,Confederated Salish and Kootenai Tribes of the Flathead Reservation,Flathead Reservation,,
TribeIndigenousLands,Lytton,Lytton Rancheria of California,Lytton Rancheria,,
TribeIndigenousLands,Gila River,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",Gila River Indian Reservation,,
TribeIndigenousLands,San Pasqual,San Pasqual Band of Diegueno Mission Indians of California,San Pasqual Reservation,,
TribeIndigenousLands,Santa Ana,"Pueblo of Santa Ana, New Mexico",Santa Ana Pueblo,,
TribeIndigenousLands,Crow Creek,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",Crow Creek Reservation,,
TribeIndigenousLands,Red Lake,"Red Lake Band of Chippewa Indians, Minnesota",Red Lake Reservation,,
TribeIndigenousLands,Fort Yuma,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",Fort Yuma Indian Reservation,,
TribeIndigenousLands,Fort Mojave,"Fort Mojave Indian Tribe of Arizona, California & Nevada",Fort Mojave Reservation,,
TribeIndigenousLands,Montgomery Creek,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Montgomery Creek Rancheria,,
TribeIndigenousLands,Cochiti,"Pueblo of Cochiti, New Mexico",Pueblo de Cochiti,,
TribeIndigenousLands,Nez Perce,Nez Perce Tribe,Nez Perce Reservation,,
TribeIndigenousLands,Pechanga,Pechanga Band of Indians,Pechanga Reservation,,
TribeIndigenousLands,Picuris,"Pueblo of Picuris, New Mexico",Picuris Pueblo,,
TribeIndigenousLands,Blue Lake,"Blue Lake Rancheria, California",Blue Lake Rancheria,,
TribeIndigenousLands,Taos,"Pueblo of Taos, New Mexico",Taos Pueblo,,
TribeIndigenousLands,Yerington,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",Yerington Colony,,
TribeIndigenousLands,Jamestown S'Klallam,Jamestown S'Klallam Tribe,Jamestown S'Klallam Reservation,,
TribeIndigenousLands,Cattaraugus,Seneca Nation of Indians,Cattaraugus Reservation,,
TribeIndigenousLands,Hopland,"Hopland Band of Pomo Indians, California",Hopland Rancheria,,
TribeIndigenousLands,Snoqualmie,Snoqualmie Indian Tribe,Snoqualmie Reservation,,
TribeIndigenousLands,Lake Traverse,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",Lake Traverse Reservation,,
TribeIndigenousLands,Kaibab,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",Kaibab Indian Reservation,,
TribeIndigenousLands,Ute Mountain,Ute Mountain Ute Tribe,Ute Mountain Reservation,,
TribeIndigenousLands,Zia,"Pueblo of Zia, New Mexico",Zia Pueblo,,
TribeIndigenousLands,Fond du Lac,"Minnesota Chippewa Tribe, Minnesota (Fond du Lac Band)",Fond du Lac Reservation,,
TribeIndigenousLands,Pyramid Lake Paiute,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",Pyramid Lake Paiute Reservation,,
TribeIndigenousLands,Likely,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Likely Rancheria,,
TribeIndigenousLands,Big Valley,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",Big Valley Rancheria,,
TribeIndigenousLands,Upper Lake,"Habematolel Pomo of Upper Lake, California",Upper Lake Rancheria,,
TribeIndigenousLands,Lovelock,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",Lovelock Indian Colony,,
